0	-16777216.000000000	
1	-16640341.000000000	
2	-16680614.000000000	
3	-16267030.000000000	
4	-16548943.000000000	
5	-16682631.000000000	
6	-16426328.000000000	
7	-16027675.000000000	
8	-16222037.000000000	
9	-16443711.000000000	
10	-16343312.000000000	
11	-16381937.000000000	
12	-16601700.000000000	
13	-16650029.000000000	
14	-16520282.000000000	
15	-16316190.000000000	
16	-16242006.000000000	
17	-16250914.000000000	
18	-16424578.000000000	
19	-16526484.000000000	
20	-16524333.000000000	
21	-16577879.000000000	
22	-16515460.000000000	
23	-16453787.000000000	
24	-16282432.000000000	
25	-16197936.000000000	
26	-16332504.000000000	
27	-16439986.000000000	
28	-16437561.000000000	
29	-16486752.000000000	
30	-16464251.000000000	
31	-16426308.000000000	
32	-16342476.000000000	
33	-16323986.000000000	
34	-16380441.000000000	
35	-16321894.000000000	
36	-16126151.000000000	
37	-16179408.000000000	
38	-16302645.000000000	
39	-16365950.000000000	
40	-16373426.000000000	
41	-16361859.000000000	
42	-16341171.000000000	
43	-16311509.000000000	
44	-16353072.000000000	
45	-16362815.000000000	
46	-16279801.000000000	
47	-16356642.000000000	
48	-16341031.000000000	
49	-16130068.000000000	
50	-16083898.000000000	
51	-16206209.000000000	
52	-16249809.000000000	
53	-16287315.000000000	
54	-16305540.000000000	
55	-16226452.000000000	
56	-16233552.000000000	
57	-16304575.000000000	
58	-16407719.000000000	
59	-16423367.000000000	
60	-16302991.000000000	
61	-16249434.000000000	
62	-16230564.000000000	
63	-16096420.000000000	
64	-16053853.000000000	
65	-16127524.000000000	
66	-16135733.000000000	
67	-16089519.000000000	
68	-16164178.000000000	
69	-16285696.000000000	
70	-16263709.000000000	
71	-16261466.000000000	
72	-16307084.000000000	
73	-16294625.000000000	
74	-16298584.000000000	
75	-16362842.000000000	
76	-16353845.000000000	
77	-16272068.000000000	
78	-16251351.000000000	
79	-16345073.000000000	
80	-16367750.000000000	
81	-16330469.000000000	
82	-16359268.000000000	
83	-16315221.000000000	
84	-16194531.000000000	
85	-16195637.000000000	
86	-16282581.000000000	
87	-16293763.000000000	
88	-16200011.000000000	
89	-16157601.000000000	
90	-16233013.000000000	
91	-16318864.000000000	
92	-16317757.000000000	
93	-16272622.000000000	
94	-16216502.000000000	
95	-16232310.000000000	
96	-16267464.000000000	
97	-16360276.000000000	
98	-16423974.000000000	
99	-16377333.000000000	
100	-16352652.000000000	
101	-16302292.000000000	
102	-16179224.000000000	
103	-16118547.000000000	
104	-16158512.000000000	
105	-16195859.000000000	
106	-16260695.000000000	
107	-16343270.000000000	
108	-16333924.000000000	
109	-16295633.000000000	
110	-16365570.000000000	
111	-16404964.000000000	
112	-16356782.000000000	
113	-16305879.000000000	
114	-16263171.000000000	
115	-16236671.000000000	
116	-16201430.000000000	
117	-16188848.000000000	
118	-16216066.000000000	
119	-16307258.000000000	
120	-16412342.000000000	
121	-16435472.000000000	
122	-16323993.000000000	
123	-16143465.000000000	
124	-16148964.000000000	
125	-16310287.000000000	
126	-16419229.000000000	
127	-16426851.000000000	
128	-16363476.000000000	
129	-16340961.000000000	
130	-16252392.000000000	
131	-16101170.000000000	
132	-16147840.000000000	
133	-16303542.000000000	
134	-16340421.000000000	
135	-16320323.000000000	
136	-16247232.000000000	
137	-16134620.000000000	
138	-16162592.000000000	
139	-16147720.000000000	
140	-16144290.000000000	
141	-16278621.000000000	
142	-16378725.000000000	
143	-16337817.000000000	
144	-16309447.000000000	
145	-16359966.000000000	
146	-16417338.000000000	
147	-16389999.000000000	
148	-16293918.000000000	
149	-16221541.000000000	
150	-16206679.000000000	
151	-16198200.000000000	
152	-16195633.000000000	
153	-16226726.000000000	
154	-16319947.000000000	
155	-16328698.000000000	
156	-16290332.000000000	
157	-16292914.000000000	
158	-16312345.000000000	
159	-16264251.000000000	
160	-16194483.000000000	
161	-16262259.000000000	
162	-16371124.000000000	
163	-16321528.000000000	
164	-16225493.000000000	
165	-16221557.000000000	
166	-16215537.000000000	
167	-16227894.000000000	
168	-16315171.000000000	
169	-16333155.000000000	
170	-16298646.000000000	
171	-16253116.000000000	
172	-16217194.000000000	
173	-16244046.000000000	
174	-16244843.000000000	
175	-16246939.000000000	
176	-16322450.000000000	
177	-16343757.000000000	
178	-16293049.000000000	
179	-16302571.000000000	
180	-16311787.000000000	
181	-16264480.000000000	
182	-16198064.000000000	
183	-16208764.000000000	
184	-16322051.000000000	
185	-16409738.000000000	
186	-16399466.000000000	
187	-16364201.000000000	
188	-16295361.000000000	
189	-16253220.000000000	
190	-16290500.000000000	
191	-16339636.000000000	
192	-16305025.000000000	
193	-16249764.000000000	
194	-16251906.000000000	
195	-16260284.000000000	
196	-16245564.000000000	
197	-16282748.000000000	
198	-16319356.000000000	
199	-16327233.000000000	
200	-16307287.000000000	
201	-16308829.000000000	
202	-16326879.000000000	
203	-16287025.000000000	
204	-16259565.000000000	
205	-16316247.000000000	
206	-16351909.000000000	
207	-16360384.000000000	
208	-16396758.000000000	
209	-16370982.000000000	
210	-16341544.000000000	
211	-16343170.000000000	
212	-16344555.000000000	
213	-16355317.000000000	
214	-16386504.000000000	
215	-16363439.000000000	
216	-16298826.000000000	
217	-16247612.000000000	
218	-16286258.000000000	
219	-16312491.000000000	
220	-16254469.000000000	
221	-16240436.000000000	
222	-16262845.000000000	
223	-16306829.000000000	
224	-16389550.000000000	
225	-16380322.000000000	
226	-16313984.000000000	
227	-16319137.000000000	
228	-16325671.000000000	
229	-16274274.000000000	
230	-16237662.000000000	
231	-16262959.000000000	
232	-16317432.000000000	
